POSTNR,POSTSTAD,POSTNR- OG STAD,BRUKSOMRÅDE,FOLKETAL,BYDEL,KOMMNR,KOMMUNE,FYLKE,LAT,LON,DATAKVALITET,DATAKVALITETSFORKLARING,SIST OPPDATERT
1,Oslo,0001 OSLO,Postboksar,,Sentrum,301,Oslo,Oslo,59.9116,10.7545,2,Koordinatane er retta av Erik Bolstad,10/10/2018 20:21
9,OSLO (ikkje i bruk),0009 OSLO (ikkje i bruk),Usikker,,,301,Oslo,Oslo,59.91,10.75,6,Usikker plassering,03/10/2018 16:52
10,Oslo,0010 OSLO,Gateadresser og postboksar,0,Sentrum,301,Oslo,Oslo,59.9171,10.7274,2,Koordinatane er retta av Erik Bolstad,10/10/2018 20:21
14,Oslo (ikkje i bruk),0014 OSLO (ikkje i bruk),Firma/organisasjon med eige postnummer,,,301,Oslo,Oslo,59.9116,10.7545,2,Koordinatane er retta av Erik Bolstad,03/10/2018 16:30
15,Oslo,0015 OSLO,Gateadresser og postboksar,,Sentrum,301,Oslo,Oslo,59.9061,10.7392,2,Koordinatane er retta av Erik Bolstad,22/10/2018 19:08
16,Oslo (ikkje i bruk),0016 OSLO (ikkje i bruk),Firma/organisasjon med eige postnummer,,Vestre Aker,301,Oslo,Oslo,59.9439,10.6551,2,Koordinatane er retta av Erik Bolstad,18/09/2013 23:39
17,Oslo (ikkje i bruk),0017 OSLO (ikkje i bruk),Firma/organisasjon med eige postnummer,,,219,Bærum,Akershus,59.9172,10.5049,2,Koordinatane er retta av Erik Bolstad,19/10/2018 00:07
18,Oslo,0018 OSLO,Gate-/veg-adresse,,Sentrum,301,Oslo,Oslo,59.9078,10.7405,2,Koordinatane er retta av Erik Bolstad,11/10/2018 19:06
19,OSLO (ikkje i bruk),0019 OSLO (ikkje i bruk),Usikker,,,301,Oslo,Oslo,59.91,10.75,6,Usikker plassering,03/10/2018 16:52
20,Oslo (ikkje i bruk),0020 OSLO (ikkje i bruk),Firma/organisasjon med eige postnummer,,,301,Oslo,Oslo,59.9116,10.7545,2,Koordinatane er retta av Erik Bolstad,03/10/2018 16:30
21,Oslo,0021 OSLO,Postboksar,,Frogner,301,Oslo,Oslo,59.9097,10.7254,5,Koordinatane er retta av ein yr.no-brukar,03/04/2013 10:02
22,Oslo (Ikkje i bruk),0022 OSLO (Ikkje i bruk),Firma/organisasjon med eige postnummer,,Sentrum,301,Oslo,Oslo,59.9134,10.7572,2,Koordinatane er retta av Erik Bolstad,24/09/2012 17:05
23,Oslo (ikkje i bruk),0023 OSLO (ikkje i bruk),Fleire bruksområde,,,301,Oslo,Oslo,59.9116,10.7545,2,Koordinatane er retta av Erik Bolstad,03/10/2018 16:30
24,Oslo,0024 OSLO,Postboksar,,Alna,301,Oslo,Oslo,59.9283,10.8519,2,Koordinatane er retta av Erik Bolstad,03/10/2018 21:20
25,Oslo (ikkje i bruk),0025 OSLO (ikkje i bruk),Postboksar,,Sentrum,301,Oslo,Oslo,59.91124,10.75156,1,Koordinatane gjeld postkontoret,03/10/2018 16:40
26,Oslo,0026 OSLO,Gateadresser og postboksar,,Sentrum,301,Oslo,Oslo,59.9132,10.7403,2,Koordinatane er retta av Erik Bolstad,10/10/2018 20:22
27,Oslo (Ikkje i bruk),0027 OSLO (Ikkje i bruk),Firma/organisasjon med eige postnummer,,Nordre Aker,301,Oslo,Oslo,59.9479,10.7157,2,Koordinatane er retta av Erik Bolstad,01/07/2019 23:44
28,Oslo,0028 OSLO,Postboksar,,Sentrum,301,Oslo,Oslo,59.91432,10.74927,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
30,Oslo,0030 OSLO,Postboksar,,Sentrum,301,Oslo,Oslo,59.9154,10.7458,2,Koordinatane er retta av Erik Bolstad,0000-00-00 00:00:00
31,Oslo,0031 OSLO,Postboksar,,Sentrum,301,Oslo,Oslo,59.9154,10.7458,2,Koordinatane er retta av Erik Bolstad,0000-00-00 00:00:00
32,Oslo,0032 OSLO,Postboksar,,Sentrum,301,Oslo,Oslo,59.9154,10.7458,2,Koordinatane er retta av Erik Bolstad,11/10/2018 19:04
33,Oslo,0033 OSLO,Postboksar,,Sentrum,301,Oslo,Oslo,59.9154,10.7458,2,Koordinatane er retta av Erik Bolstad,0000-00-00 00:00:00
34,Oslo,0034 OSLO,Postboksar,,Sentrum,301,Oslo,Oslo,59.9154,10.7458,2,Koordinatane er retta av Erik Bolstad,0000-00-00 00:00:00
35,OSLO (ikkje i bruk),0035 OSLO (ikkje i bruk),Usikker,,,301,Oslo,Oslo,59.91,10.75,6,Usikker plassering,03/10/2018 16:52
37,Oslo,0037 OSLO,Gateadresser og postboksar,,Sentrum,301,Oslo,Oslo,59.9125,10.7341,2,Koordinatane er retta av Erik Bolstad,11/10/2018 18:59
